Supplier code,Supplier,Item,Unit,QTY,COST/Unit
FR065748,AGATHON TRADING,SHRIMP PEELED,KG,467,250
FR065748,AGATHON TRADING,CONTAINER STYRO TWO COM,PC,218,1.75
FR065748,AGATHON TRADING,MANUPON PLUS <NEW> 4/1 GL,CASE,258,2027
FR065748,AGATHON TRADING,OC POTS AND PAN NEUTRAL,CASE,202,2571
FR065748,AGATHON TRADING,OC QUAT SANITIZER 2/2 L,CASE,544,4211
FR065748,AGATHON TRADING,ECOSAN PHILS 4/1 GL,CASE,283,1611
FR065748,AGATHON TRADING,GRILL CLEANER PLUS 4/1GL,CASE,715,2564
FR065748,AGATHON TRADING,RICE,SACK,252,1650
FR065748,AGATHON TRADING,MAPLE SMOKED HAM,KG,547,322
FR065748,AGATHON TRADING,SMOKEN BEEF SALAMI,KG,301,178
