Supplier code,Supplier,Item,Unit,QTY,COST/Unit
IT145632,NJ TOLENTINO,BUTTER UNSALTED ANCHOR 4 X 5 KG,CASE,689,6096.03
IT145632,NJ TOLENTINO,SEA MELNE FLOUR,KG,540,87.73
IT145632,NJ TOLENTINO,ANCHOR W CREAM,LOT,580,283.95
IT145632,NJ TOLENTINO,WILKINS H2O,ML,337,68.95
IT145632,NJ TOLENTINO,VEG LETTUCE ICEBERG,KG,746,168
IT145632,NJ TOLENTINO,VEG D ICEBERG LETTUCE,KG,214,87.25
IT145632,NJ TOLENTINO,VEG EGGPLANT,KG,441,68
IT145632,NJ TOLENTINO,VEG CABBAGE,KG,253,65
IT145632,NJ TOLENTINO,FRUIT COCONUT MEAT,KG,748,160
IT145632,NJ TOLENTINO,FISH TINAPANG GALUNGGONG,KG,307,190
