Supplier code,Supplier,Item,Unit,QTY,COST/Unit
RO094782,RED RIBBON BAKESHOP,ITEMCODE STICKER 100 X 50MM YUPO1COLOR,PC,317,0.55
RO094782,RED RIBBON BAKESHOP,YUPO YC 142 X 27MM,PC,537,0.55
RO094782,RED RIBBON BAKESHOP,PRODUCT STICKER 100 X 50MM YUPO 1COLOR,PC,459,0.55
RO094782,RED RIBBON BAKESHOP,OIL COOKING M FRY 17 KG,CARBOUY,249,652.69
RO094782,RED RIBBON BAKESHOP,FRYING FAT FRYMAX 25 KG,CASE,623,1797.5
RO094782,RED RIBBON BAKESHOP,BOX CORRUGATED 17 X 10 X 7,PC,648,13.1
RO094782,RED RIBBON BAKESHOP,BOX CHIPBOARD BODY 8” X 5.5X,PC,333,2.92
RO094782,RED RIBBON BAKESHOP,OIL COOKING M FRY 17 KG,CARBOUY,407,652.69
RO094782,RED RIBBON BAKESHOP,EGG LARGE,PC,997,3.65
RO094782,RED RIBBON BAKESHOP,LIQUID ANATTO,KG,276,5.6
RO094782,RED RIBBON BAKESHOP,BOX CORR 17X10X7 CEBURSC,PC,200,13.1
